,Accession Number,Particle Size,Particle Charge,Solvent Conditions,Average Predicted Value,True Value,% Error Difference,Min,Max,Standard Deviation
0,P00549,100 nm,Negative,10 mM NaPi pH 7.4,0.007199777583155877,0.0123,0.41465222901171733,0.006381017381523812,0.007510904233333391,0.0005465525006992422
1,P10592,100 nm,Negative,10 mM NaPi pH 7.4,0.003793772986929562,0.00525,0.2773765739181787,0.002592634726285727,0.0043884840351428546,0.00048164022947656566
2,P10592,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.004455246447727647,0.00258,0.7268397084215688,0.003511576840709978,0.004899958031428581,0.0004550354470149341
3,P10591,100 nm,Negative,10 mM NaPi pH 7.4,0.004691424099174538,0.0039,0.20292925619859953,0.004267464908253927,0.005103794996761835,0.00042478223416369274
4,P22202,100 nm,Negative,10 mM NaPi pH 7.4,0.0015799946476183302,0.00129,0.22480205241731033,0.0014018875524761975,0.0017558823326666733,0.00012795993685738008
5,P22202,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0013975207662358306,0.00132,0.058727853208962594,0.001303145624920641,0.0015645279431111066,0.0001020233319934356
6,P06169,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.008331643210238089,0.00516,0.6146595368678468,0.006929409330952326,0.009728628442381006,0.0011222824345458121
7,P26263,100 nm,Negative,10 mM NaPi pH 7.4,0.0020679130778587162,0.00226,0.08499421333685117,0.0017820432960952224,0.003465060305809505,0.00045565693244241514
8,P00560,10 nm,Positive,10 mM NaPi pH 7.4,0.01896606911370758,0.0176,0.07761756327883972,0.015821755336190492,0.02192467548380932,0.0015956149190033556
9,P00925,10 nm,Negative,10 mM NaPi pH 7.4,0.01621466628370237,0.0306,0.4701089449770467,0.013563218931904588,0.01751836522400003,0.001317548248740714
10,P00925,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.02370828713266524,0.0166,0.42821006823284585,0.017366701353714493,0.027276483576904896,0.0036181327163946984
11,P14540,10 nm,Negative,10 mM NaPi pH 7.4,0.005763106325409786,0.014,0.5883495481850153,0.0047204132159047365,0.007012449966349203,0.0005503871924848942
12,P16521,10 nm,Positive,10 mM NaPi pH 7.4,0.0015331518461547628,0.00179,0.14349058874035597,0.0008046557302857048,0.002095847271180968,0.0002938504922185258
